Date,Open,High,Low,Close,Volume,EMA-12,EMA-26,MACD,Signal
2021-01-04,92.1100,96.0600,90.9200,92.3000,51802600,,,,
2021-01-05,92.1000,93.2100,91.4100,92.7700,34208000,,,,
2021-01-06,91.6200,92.2800,89.4600,90.3300,51911700,,,,
2021-01-07,91.3300,95.5100,91.2000,95.1600,42897200,,,,
2021-01-08,95.9800,96.4000,93.2700,94.5800,39816400,,,,
2021-01-11,94.0300,99.2300,93.7600,97.2500,48600200,,,,
2021-01-12,97.8600,98.9700,94.0700,95.3600,67672300,,,,
2021-01-13,93.0100,93.8900,90.8400,91.7800,60712900,,,,
2021-01-14,91.7700,92.3600,90.4500,90.7900,53408200,,,,
2021-01-15,90.7500,91.5900,87.8600,88.2100,49340300,,,,
2021-01-19,89.5600,89.5800,87.2400,89.4500,45115100,,,,
2021-01-20,90.5500,90.7800,88.6000,88.7500,35185800,92.2275,,,
2021-01-21,89.3400,92.0700,88.4300,91.5300,54221900,92.1202,,,
2021-01-22,94.4200,95.9500,91.8800,92.7900,71294700,92.2232,,,
2021-01-25,94.1400,95.7400,91.4000,94.1300,55086900,92.5166,,,
2021-01-26,94.9100,95.7200,93.6300,94.7100,59449100,92.8540,,,
2021-01-27,91.1000,91.8800,86.2200,88.8400,73341200,92.2365,,,
2021-01-28,89.8300,89.8800,87.3000,87.5200,47048400,91.5109,,,
2021-01-29,87.5600,88.3300,85.0200,85.6400,56735800,90.6077,,,
2021-02-01,86.8300,87.9500,84.6600,87.6600,42359300,90.1542,,,
2021-02-02,88.4900,89.2800,86.9500,88.8600,33850000,89.9551,,,
2021-02-03,88.6000,89.4800,87.3400,87.8900,32312900,89.6374,,,
2021-02-04,88.2200,88.6000,87.0600,87.8400,30791600,89.3609,,,
2021-02-05,88.1500,88.3600,86.8800,87.9000,30268700,89.1361,,,
2021-02-08,88.3100,91.9900,87.9800,91.4700,47639900,89.4952,,,
2021-02-9,91.3900,93.3000,90.5500,90.9100,37596400,89.7128,90.9392,-1.2264,
2021-02-10,91.5000,93.2700,90.4600,92.3500,42441300,90.1186,91.0437,-0.9252,
2021-02-11,92.9000,93.6500,91.3300,92.6600,35571000,90.5095,91.1635,-0.6539,
2021-02-12,92.7500,94.2200,91.9000,93.7700,38538400,91.0112,91.3565,-0.3454,
2021-02-16,93.9000,94.0000,90.7500,91.4600,35105900,91.0802,91.3642,-0.2840,
2021-02-17,90.5600,90.9600,88.5700,89.9400,32245500,90.9048,91.2587,-0.3539,
2021-02-18,89.0900,89.6000,87.3100,88.6400,35624900,90.5564,91.0647,-0.5084,
2021-02-19,89.7500,90.4200,88.6900,89.5800,29548300,90.4062,90.9547,-0.5486,
