Date,Open,High,Low,Close,Volume,EMA-12,EMA-26,MACD,Signal
2021-01-04,130.9058,136.3826,129.4898,130.9982,56064000,,,,
2021-01-05,130.8609,134.2948,130.7335,133.9077,32276000,,,,
2021-01-06,132.0871,132.3119,125.7288,126.0135,58042400,,,,
2021-01-07,129.5398,133.6380,128.7306,133.3008,46148000,,,,
2021-01-08,133.4856,134.0700,130.2840,132.6290,29252800,,,,
2021-01-11,134.0476,139.4644,133.4857,136.0730,51834400,,,,
2021-01-12,137.3816,137.4016,133.3108,134.7069,29147600,,,,
2021-01-13,134.7593,136.1079,133.7104,135.1764,21002800,,,,
2021-01-14,135.6084,135.8557,131.6675,131.8649,28312000,,,,
2021-01-15,132.1420,133.1135,128.3510,128.4609,27778000,,,,
2021-01-19,130.0268,130.8035,128.3061,130.1167,22618800,,,,
2021-01-20,130.9808,134.1649,130.4313,133.5181,25857200,132.2305,,,
2021-01-21,134.0451,139.8465,132.3918,138.5304,33778000,133.1997,,,
2021-01-22,137.2567,138.2731,136.1304,136.9820,24682000,133.7816,,,
2021-01-25,137.6738,138.1408,132.2270,136.3901,25111200,134.1829,,,
2021-01-26,135.6634,136.3052,133.7354,134.2124,16398000,134.1874,,,
2021-01-27,132.1620,132.1895,127.8041,129.0428,37127200,133.3960,,,
2021-01-28,129.8270,133.2584,129.4698,130.3739,22831600,132.9310,,,
2021-01-29,130.6137,133.2085,128.9804,129.7621,27155200,132.4435,,,
2021-02-01,130.3964,132.5691,128.8930,132.2320,21720400,132.4109,,,
2021-02-02,133.8478,135.5785,132.7165,135.4261,22044000,132.8748,,,
2021-02-03,136.2178,139.1722,135.0240,135.1639,24540800,133.2270,,,
2021-02-04,135.1689,136.5924,133.2384,136.5000,20134000,133.7305,,,
2021-02-05,137.1069,137.2292,135.3162,135.7683,16915200,134.0440,,,
2021-02-08,137.1293,144.5865,137.1293,144.2369,43462400,135.6122,,,
2021-02-9,143.2579,145.6804,142.0767,142.4837,28756000,136.6693,133.9950,2.6743,
