Date,Open,High,Low,Close,Volume,EMA-12,EMA-26,MACD,Signal
2021-01-04,719.4600,744.4900,717.1900,729.7700,48638200,,,,
2021-01-05,723.6600,740.8400,719.2000,735.1100,32245200,,,,
2021-01-06,758.4900,774.0000,749.1000,755.9800,44700000,,,,
2021-01-07,777.6300,816.9900,775.2000,816.0400,51498900,,,,
2021-01-08,856.0000,884.4900,838.3900,880.0200,75055500,,,,
2021-01-11,849.4000,854.4300,803.6200,811.1900,59301600,,,,
2021-01-12,831.0000,868.0000,827.3400,849.4400,46270700,,,,
2021-01-13,852.7600,860.4700,832.0000,854.4100,33312500,,,,
2021-01-14,843.3900,863.0000,838.7500,845.0000,31266300,,,,
2021-01-15,852.0000,859.9000,819.1000,826.1600,38777600,,,,
2021-01-19,837.8000,850.0000,833.0000,844.5500,25367000,,,,
2021-01-20,858.7400,859.5000,837.2800,850.4500,25665900,816.5100,,,
2021-01-21,855.0000,855.7200,841.4200,844.9900,20521100,820.8915,,,
2021-01-22,834.3100,848.0000,828.6200,846.6400,20066500,824.8528,,,
2021-01-25,855.0000,900.4000,838.8200,880.8000,41173400,833.4601,,,
2021-01-26,891.3800,895.9000,871.6000,883.0900,23131600,841.0955,,,
2021-01-27,870.3500,891.5000,858.6600,864.1600,27334000,844.6439,,,
2021-01-28,820.0000,848.0000,801.0000,835.4300,26378000,843.2263,,,
2021-01-29,830.0000,842.4100,780.1000,793.5300,34990800,835.5807,,,
2021-02-01,814.2900,842.0000,795.5600,839.8100,25391400,836.2314,,,
2021-02-02,844.6800,880.5000,842.2000,872.7900,24346200,841.8558,,,
2021-02-03,877.0200,878.0800,853.0600,854.6900,18343500,843.8303,,,
2021-02-04,855.0000,856.5000,833.4200,849.9900,15812700,844.7779,,,
2021-02-05,845.0000,864.7700,838.9700,852.2300,18566600,845.9244,,,
2021-02-08,869.6700,877.7700,854.7500,863.4200,20161700,848.6160,,,
2021-02-9,855.1200,859.8000,841.7500,849.4600,15157700,848.7459,835.7365,13.0093,
2021-02-10,843.6400,844.8200,800.0200,804.8200,36216100,841.9881,833.4464,8.5416,
2021-02-11,812.4400,829.8800,801.7300,811.6600,21622800,837.3222,831.8326,5.4896,
2021-02-12,801.2600,817.3300,785.3300,816.1200,23768300,834.0603,830.6687,3.3916,
2021-02-16,818.0000,821.0000,792.4400,796.2200,19802300,828.2387,828.1170,0.1218,
2021-02-17,779.0900,799.8400,762.0100,798.1500,25996500,823.6097,825.8972,-2.2875,
2021-02-18,780.9000,794.6900,776.2700,787.3800,17957100,818.0359,823.0441,-5.0082,
2021-02-19,795.0000,796.7900,777.3700,781.3000,18958300,812.3842,819.9519,-7.5677,
2021-02-22,762.6400,768.5000,710.2000,714.5000,37269700,797.3251,812.1407,-14.8155,0.0972
2021-02-23,662.1300,713.6100,619.0000,698.8400,66606900,782.1736,803.7480,-21.5745,-4.2371
2021-02-24,711.8500,745.0000,694.1700,742.0200,36767000,775.9961,799.1756,-23.1795,-8.0256
2021-02-25,726.1500,737.2100,670.5800,682.2200,39023900,761.5690,790.5122,-28.9432,-12.2091
2021-02-26,700.0000,706.7000,659.5100,675.5000,41089200,748.3276,781.9928,-33.6652,-16.5003
2021-03-01,690.1100,719.0000,685.0500,718.4300,27136200,743.7280,777.2844,-33.5564,-19.9115
2021-03-02,718.2800,721.1100,685.0000,686.4400,23732200,734.9144,770.5552,-35.6408,-23.0574
2021-03-03,687.9900,700.7000,651.7100,653.2000,30208000,722.3430,761.8622,-39.5192,-26.3498
2021-03-04,655.8000,668.4500,600.0000,621.4400,65919500,706.8195,751.4606,-44.6411,-30.0080
2021-03-05,626.0600,627.8400,539.4900,597.9500,89396500,690.0703,740.0894,-50.0191,-34.0102
2021-03-08,600.5500,620.1300,558.7900,563.0000,51787000,670.5210,726.9717,-56.4507,-38.4983
2021-03-9,608.1800,678.0900,595.2100,673.5800,67523300,670.9916,723.0168,-52.0251,-41.2037
2021-03-10,700.3000,717.8500,655.0600,668.0600,60605700,670.5406,718.9459,-48.4053,-42.6440
2021-03-11,699.4000,702.5000,677.1800,699.6000,36253900,675.0113,717.5129,-42.5016,-42.6155
